damage_qty,location,erosion,coat_protection,laminate_vis_dry_dam,hole/crack/bonding,lightning_recep_dam/impact,assist,other,num_desc,continuous,out_hue_mode,out_sat_mode,out_brt_mode,size,coverage,asp_ratio,deg_avg,deg_mode,edge,edgelen_avg,edgelen_mode,sc_edge_ratio,sc_follow_turn,sc_reverse_turn,sc_small_turn,sc_score,hue_avg,hue_mode,hue_range,hue_uni,sat_avg,sat_mode,sat_range,sat_uni,brt_avg,brt_mode,brt_range,brt_uni,hue_outin,sat_outin,brt_outin,windtex
1,35,0,1,1,0,0,0,0,2,0,12,2,8,1,6,4,10,8,6,8,6,12,2,10,4,4,8,8,12,12,4,4,4,6,4,4,4,6,28,56,58,2
1,50,2,0,0,0,0,0,0,1,1,5,2,7,1,4,10,10,12,4,8,8,14,3,9,4,4,5,5,12,18,2,2,5,7,5,5,6,8,7,22,43,2
1,37,2,0,0,0,0,0,0,1,1,12,2,8,1,6,5,10,10,3,8,8,14,6,6,2,4,12,12,4,6,2,2,7,7,8,8,7,9,2,0,17,2
1,50,2,0,0,0,0,0,0,1,1,6,2,4,1,6,10,10,12,4,8,6,12,4,8,6,4,8,6,12,18,2,2,4,6,6,8,8,10,6,16,22,2
1,37,0,0,0,0,0,1,0,1,0,12,2,6,1,10,8,8,6,1,4,4,8,18,0,10,4,12,12,0,2,2,2,0,2,6,6,4,6,0,0,4,2
1,37,0,0,0,0,0,1,0,1,1,12,2,8,1,8,12,10,10,1,6,6,12,0,14,2,4,8,12,8,8,2,2,0,2,6,6,6,8,12,0,32,2
4,37,2,0,0,0,0,0,0,1,1,12,2,8,1,4,17,10,12,2,8,6,14,2,10,2,2,12,12,2,4,2,2,7,6,6,6,6,8,2,3,37,2
1,50,2,0,0,0,0,0,0,1,0,10,2,8,1,6,8,10,8,2,7,8,12,4,10,4,3,8,6,11,15,2,2,2,4,8,8,6,8,10,13,11,2
1,37,0,1,1,0,0,0,0,2,1,6,2,6,1,8,6,10,12,2,8,8,12,6,6,2,4,6,6,7,7,2,2,1,3,6,8,6,8,7,0,12,2
1,50,2,0,0,0,0,0,0,1,1,4,2,8,1,6,9,10,12,4,8,8,14,2,10,4,4,6,6,5,7,2,2,3,5,6,5,6,8,16,20,50,2
1,32,0,1,1,0,0,0,0,2,0,12,2,6,1,6,4,10,10,2,8,8,14,2,10,2,4,12,12,2,4,2,2,8,8,6,6,6,8,2,8,14,2
1,42,0,2,3,0,0,0,0,2,1,12,2,5,1,7,3,10,12,3,8,8,13,4,8,2,2,8,9,12,17,2,2,7,9,4,4,7,9,14,1,37,4
1,44,2,2,0,0,0,0,0,2,1,9,2,8,1,8,6,10,12,2,7,8,12,6,8,3,3,5,4,12,14,2,2,5,7,7,7,7,9,18,13,34,4
1,44,2,2,0,0,0,0,0,2,1,6,2,7,1,8,5,10,12,2,7,7,13,5,8,3,3,4,4,12,13,2,2,8,10,6,5,8,10,17,4,38,4
4,39,0,2,0,0,0,0,0,1,1,8,2,6,2,7,4,10,12,3,6,7,12,4,8,4,3,5,3,12,19,3,3,7,9,7,7,7,9,17,31,22,5
2,44,0,2,3,0,0,0,0,2,1,10,3,8,1,6,5,10,12,5,8,8,12,1,10,3,3,7,2,12,16,4,4,3,5,6,6,8,10,15,15,25,5
4,41,0,2,0,0,0,0,0,1,1,12,2,10,11,8,2,10,12,2,6,6,12,4,8,4,2,4,4,12,18,2,2,8,10,4,4,8,10,22,19,46,5
4,40,0,2,0,0,0,0,0,1,1,10,2,8,1,6,5,10,12,4,8,8,13,2,9,4,4,5,4,12,18,2,2,7,9,5,6,8,10,20,9,30,5
1,44,0,1,1,0,0,0,0,2,0,4,2,2,1,10,4,10,8,1,6,6,10,11,6,6,4,4,4,11,11,4,4,4,6,6,4,8,10,13,28,48,2
2,43,0,2,1,0,0,0,0,3,1,5,2,8,2,7,5,10,12,3,7,7,12,4,9,3,3,4,5,12,17,2,2,8,10,6,7,8,10,14,24,30,4
3,43,0,2,0,0,0,0,0,1,1,11,2,8,3,8,4,10,10,4,6,6,12,4,8,6,4,7,9,12,17,2,2,7,9,4,3,8,10,21,17,50,5
3,44,2,2,0,0,0,0,0,2,1,12,2,10,1,6,6,10,12,3,8,8,14,4,10,6,4,8,4,12,18,2,2,8,10,4,2,8,10,16,14,20,5
1,34,0,1,1,0,0,0,0,2,0,12,2,6,1,6,6,10,10,3,8,8,14,6,8,4,4,12,12,2,4,2,2,6,8,4,4,6,8,0,6,62,2
