damage_qty,location,erosion,coat_protection,laminate_vis_dry_dam,crack/bonding,lightning/impact,surface/deflector,hole,other[1_2],num_desc,continuous,out_hue_mode,out_sat_mode,out_brt_mode,coverage,asp_ratio,deg_avg,deg_mode,edge,edgelen_avg,edgelen_mode,sc_edge_ratio,sc_follow_turn,sc_reverse_turn,sc_small_turn,hue_avg,hue_mode,hue_range,hue_uni,sat_avg,sat_mode,sat_range,sat_uni,brt_avg,brt_mode,brt_range,brt_uni,hue_outin,sat_outin,brt_outin,size,windtex
1,38.0,2,0,0,0,0,0,0,0,1,0,12,2,6,6,5,10,10,54,8,8,13,5,9,1,12,12,1,3,2,2,2,4,6,6,4,6,4,1,8,21.914199999999997,0.5
1,35.0,0,1,1,0,0,0,0,0,2,1,12,2,7,7,5,10,11,111,8,8,14,6,8,2,12,12,4,6,2,2,3,5,6,6,5,7,5,10,15,60.3343,0.5
1,50.0,2,0,0,0,0,0,0,0,1,1,12,2,8,4,14,10,12,238,6,8,12,4,10,4,10,12,12,16,2,2,8,10,4,2,6,8,8,6,34,207.1176,0.5
1,35.0,0,1,1,0,0,0,0,0,2,0,12,2,8,6,4,10,8,326,8,6,12,4,10,4,8,8,12,12,4,4,4,6,4,4,4,6,28,56,58,281.5315,0.5
1,50.0,2,0,0,0,0,0,0,0,1,1,5,2,7,4,10,10,12,188,8,8,14,5,9,4,5,5,12,18,2,2,5,7,5,5,6,8,7,22,43,56.3031,0.5
1,37.0,2,0,0,0,0,0,0,0,1,1,12,2,8,6,5,10,10,161,8,8,14,6,6,2,12,12,4,6,2,2,7,7,8,8,7,9,2,0,17,501.79740000000004,0.5
1,50.0,2,0,0,0,0,0,0,0,1,1,6,2,4,6,10,10,12,200,8,6,12,6,8,6,8,6,12,18,2,2,4,6,6,8,8,10,6,16,22,17.6758,0.5
1,37.0,0,0,0,0,0,0,0,0,1,0,12,2,6,10,8,8,6,8,4,4,8,18,0,10,12,12,0,2,2,2,0,2,6,6,4,6,0,0,4,3.7307,0.5
1,37.0,0,0,0,0,0,0,0,0,1,1,12,2,8,8,12,10,10,44,6,6,12,0,14,2,8,12,8,8,2,2,0,2,6,6,6,8,12,0,32,13.4277,0.5
4,37.0,2,0,0,0,0,0,0,0,1,1,12,2,8,4,17,10,12,87,8,6,14,2,10,2,12,12,2,4,2,2,7,6,6,6,6,8,2,3,37,17.3807,0.5
1,50.0,2,0,0,0,0,0,0,0,1,0,10,2,8,6,8,10,8,95,7,8,12,5,10,4,8,6,11,15,2,2,2,4,8,8,6,8,10,13,11,29.557699999999997,0.5
1,37.0,0,1,1,0,0,0,0,0,2,1,6,2,6,8,6,10,12,69,8,8,12,8,6,2,6,6,7,7,2,2,1,3,6,8,6,8,7,0,12,26.0394,0.5
1,50.0,2,0,0,0,0,0,0,0,1,1,4,2,8,6,9,10,12,197,8,8,14,4,10,4,6,6,5,7,2,2,3,5,6,5,6,8,16,20,50,38.7342,0.5
1,32.0,0,1,1,0,0,0,0,0,2,0,12,2,6,6,4,10,10,104,8,8,14,4,10,2,12,12,2,4,2,2,8,8,6,6,6,8,2,8,14,4.775,0.5
1,42.0,0,2,3,0,0,0,0,0,2,1,12,2,5,7,3,10,12,142,8,8,13,5,8,2,8,9,12,17,2,2,7,9,4,4,7,9,14,1,37,54.4724,1.5
1,44.0,2,2,0,0,0,0,0,0,2,1,9,2,8,8,6,10,12,110,7,8,12,6,8,3,5,4,12,14,2,2,5,7,7,7,7,9,18,13,34,202.5992,1.5
1,44.0,2,2,0,0,0,0,0,0,2,1,6,2,7,8,5,10,12,81,7,7,13,5,8,3,4,4,12,13,2,2,8,10,6,5,8,10,17,4,38,168.27499999999998,1.5
4,39.0,0,2,0,0,0,0,0,0,1,1,8,2,6,7,4,10,12,163,6,7,12,6,8,4,5,3,12,19,3,3,7,9,7,7,7,9,17,31,22,1251.7401,2.0
2,44.0,0,2,3,0,0,0,0,0,2,1,10,3,8,6,5,10,12,254,8,8,12,3,10,3,7,2,12,16,4,4,3,5,6,6,8,10,15,15,25,235.7339,2.0
